,name,company,year,Price,kms_driven,fuel_type
79,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
80,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel
81,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
82,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
83,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
84,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel
85,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol
86,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
87,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
88,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
89,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
90,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
91,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
92,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
93,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
94,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
95,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol
96,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel
97,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
98,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
99,Nissan Micra XV,Nissan,2011,179000,41000,Petrol
100,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
101,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
102,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel
103,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
104,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
105,Honda City 1.5,Honda,2010,285000,35000,Petrol
106,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel
107,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol
108,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
109,Tata Indica V2,Tata,2006,90000,20000,Petrol
110,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel
111,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol
112,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol
113,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel
114,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel
115,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
116,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
117,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel
118,Nissan Sunny,Nissan,2012,224999,45000,Petrol
119,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
120,Renault Kwid,Renault,2016,244999,11000,Petrol
121,Renault Duster,Renault,2013,399999,41000,Diesel
122,Renault Duster,Renault,2014,474999,50000,Diesel
123,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel
124,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
125,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
126,Datsun Redi GO,Datsun,2016,245000,7000,Petrol
127,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
128,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel
129,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
130,Toyota Etios GD,Toyota,2013,275000,24800,Petrol
131,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel
132,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
133,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
134,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel
135,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel
136,Tata Indigo CS,Tata,2011,85000,11400,Diesel
137,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol
138,Honda City 1.5,Honda,2014,549000,39000,Petrol
139,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
140,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
141,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
142,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
143,Ford Fiesta,Ford,2011,274999,55000,Diesel
144,Honda City,Honda,2015,599999,30000,Diesel
145,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
146,Honda City,Honda,2014,544999,45000,Diesel
147,Hyundai i20,Hyundai,2009,199000,31000,Petrol
148,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
149,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
150,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
151,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
152,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
153,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
154,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
155,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol
156,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
157,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel
158,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel
159,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
160,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
161,Tata Nano Cx,Tata,2013,40000,2200,Petrol
162,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
163,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
164,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
165,Tata Sumo Victa,Tata,2012,285000,65000,Diesel
166,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
167,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
168,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel
169,Renault Scala RxL,Renault,2015,375000,25000,Diesel
170,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
171,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
172,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
173,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
174,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
175,Force Motors Force,Force,2015,580000,3200,Diesel
176,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
177,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
178,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
179,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
180,Toyota Etios,Toyota,2011,275000,36000,Diesel
181,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
182,Honda City ZX,Honda,2008,110000,45000,Petrol
183,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
184,Honda City VX,Honda,2016,519000,52000,Diesel
185,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel
186,Audi A4 1.8,Audi,2009,699000,47000,Petrol
187,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel
188,Land Rover Freelander,Land,2015,2100000,30000,Diesel
189,Renault Kwid RXT,Renault,2017,340000,5000,Petrol
190,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel
191,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol
192,Datsun GO T,Datsun,2016,245000,7000,Petrol
193,Tata Indigo eCS,Tata,2016,320000,175400,Diesel
194,Honda Jazz VX,Honda,2016,450000,41000,Petrol
195,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol
196,Honda City,Honda,2012,399999,45000,Petrol
197,Honda City,Honda,2015,599999,39000,Diesel
198,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
199,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel
200,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
201,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
202,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
203,Tata Sumo Gold,Tata,2013,300000,50000,Diesel
204,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
205,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
206,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
207,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
208,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
209,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel
210,Renault Duster 85,Renault,2014,489999,59000,Diesel
211,Renault Duster 85,Renault,2015,549999,19000,Diesel
212,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
213,Renault Kwid RXT,Renault,2018,325000,15000,Petrol
214,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
215,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol
216,Renault Scala RxL,Renault,2014,349999,49000,Diesel
217,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol
218,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
219,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol
220,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol
221,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol
222,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol
223,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel
224,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
225,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel
226,Tata Indica V2,Tata,2008,150000,11000,Petrol
227,Tata Indigo CS,Tata,2009,72500,46000,Diesel
228,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
229,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel
230,Honda Accord,Honda,2009,175000,58559,Petrol
231,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel
232,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
233,Honda Amaze,Honda,2014,299999,37000,Petrol
234,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
235,Honda City,Honda,2011,284999,55000,Petrol
236,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
237,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
238,Honda City,Honda,2015,644999,39000,Petrol
239,Honda Mobilio,Honda,2014,399999,44000,Petrol
240,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
241,Honda City,Honda,2014,584999,39000,Petrol
242,Skoda Laura,Skoda,2012,349999,44000,Diesel
243,Renault Duster,Renault,2015,449999,49000,Diesel
244,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
245,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
246,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
247,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
248,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
249,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
250,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel
251,Honda Amaze,Honda,2014,274999,35000,Petrol
252,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
253,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
254,Skoda Laura,Skoda,2013,374999,50000,Diesel
255,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
256,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
257,Tata Manza Aura,Tata,2012,130000,72000,Diesel
258,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol
259,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel
260,Audi A4 2.0,Audi,2012,1350000,40000,Diesel
261,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
262,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
263,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel
264,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
265,Hyundai i20,Hyundai,2014,449999,23000,Petrol
266,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
267,Hyundai i10,Hyundai,2012,244999,38000,Petrol
268,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
269,Datsun Redi GO,Datsun,2017,244999,22000,Petrol
270,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
271,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
272,Hyundai Verna,Hyundai,2014,489999,44000,Diesel
273,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
274,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
275,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
276,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel
277,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
278,Honda City 1.5,Honda,2010,240000,400000,Petrol
279,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
280,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
281,Tata Indigo eCS,Tata,2014,250000,40000,Diesel
282,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel
283,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
284,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
285,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
286,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
287,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
288,Honda City ZX,Honda,2008,149000,42000,Petrol
289,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
290,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
291,Honda City 1.5,Honda,2010,225000,70000,Petrol
292,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
293,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel
294,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
295,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
296,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel
297,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
298,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
299,Tata Indigo LX,Tata,2016,130000,104000,Diesel
300,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
301,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol
302,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
303,Honda City,Honda,2000,65000,80000,Petrol
304,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
305,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
306,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
307,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol
308,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
309,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
310,Honda Jazz S,Honda,2009,169999,24695,Petrol
311,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol
312,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
313,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
314,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
315,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel
316,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
317,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol
318,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol
319,Renault Duster 85,Renault,2015,715000,65000,Diesel
320,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol
321,Honda Brio V,Honda,2012,235000,33000,Petrol
322,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel
323,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
324,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel
325,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
326,Nissan X Trail,Nissan,2019,1200000,300,Diesel
327,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
328,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol
329,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel
330,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
331,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol
332,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
333,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
334,Tata Indigo LS,Tata,2016,125000,70000,Diesel
335,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
336,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
337,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
338,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
339,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
340,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol
341,BMW 5 Series,BMW,2011,1299000,49000,Diesel
342,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
343,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel
344,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
345,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
346,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
347,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
348,Tata Nano GenX,Tata,2010,32000,44005,Petrol
349,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
350,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
351,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
352,Honda City SV,Honda,2017,760000,4000,Petrol
353,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
354,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
355,Honda City,Honda,2017,750000,3000,Petrol
356,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
357,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
358,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
359,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
360,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
361,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
362,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
363,Tata Indigo CS,Tata,2015,123000,100000,Diesel
364,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
365,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
366,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
367,Tata Zest XE,Tata,2018,480000,103553,Diesel
368,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
369,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
370,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
371,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
372,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
373,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
374,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
375,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
376,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
377,Honda Mobilio S,Honda,2014,399000,44000,Diesel
378,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
379,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
380,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
381,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
382,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
383,Honda Amaze,Honda,2013,250000,55700,Diesel
384,Tata Indica,Tata,2005,80000,42000,Petrol
385,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
386,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
387,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
388,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
389,Honda Brio VX,Honda,2017,450000,11000,Petrol
390,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
391,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
392,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
393,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
394,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
395,Tata Nano Lx,Tata,2010,52000,9000,Petrol
396,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol
397,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
398,Honda City 1.5,Honda,2014,499000,22000,Petrol
399,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
400,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
401,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
402,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
403,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
404,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
405,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
406,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
407,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
408,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
409,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol
410,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
411,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
412,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
413,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
414,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
415,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
416,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
417,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
418,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
419,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
420,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
421,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
422,Audi A6 2.0,Audi,2012,1599000,11500,Diesel
423,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
